"Power","IMF1","IMF2","IMF3","IMF4","IMF5","Residue"
1012,-97.1487195915028,-80.6016855247085,-154.370386879289,-37.0464942760144,104.906285062613,1276.2610012089
999.9,-136.41320515021,-62.9572027747469,-145.494119995402,-35.0741632403583,108.953545430746,1270.88514572997
1284.2,42.3225369054872,-39.6236321563707,-74.0810821980093,-20.8437959583487,109.765649043524,1266.66032436372
1449,77.6717038689063,-12.3934498336655,10.6662252732632,1.93285160679961,107.578057874916,1263.54461120978
1615.2,118.860584049534,-6.78169768685918,115.718788112931,23.2043101646141,102.710852240346,1261.48716311943
1420.1,-170.446046122895,26.565977672297,172.06228668324,36.1642757977654,95.3282326865001,1260.42527328309
1832.1,176.285419384103,74.0826077982589,200.740879336395,35.2895084708053,85.4121104255771,1260.28947458486
1473.3,-62.6744424048541,54.2637044751192,129.443455744088,18.1831579045971,73.0779976862962,1261.00612659475
1170.9,-145.085293695575,1.2803600299708,0.633559422178666,-7.30594983836073,58.867657853468,1262.50966622832
1102.6,-1.63613846434465,-45.1595611670623,-124.434683665762,-34.3429254528602,43.4282544731294,1264.7450542769
1014.1,0.444976276645038,-54.7174367374521,-175.847828508289,-50.7062460817094,27.28541411548,1267.64112093533
941.2,-90.6098572637826,-39.9013882823938,-158.957295070023,-51.426095345569,10.9842862796901,1271.11034968208
1135,-19.161920319296,-16.2029906792051,-56.9279054153023,-42.4076505868362,-5.36743784190326,1275.06790484254
1355.3,30.332521561494,17.7045663820038,78.1082813454058,-28.6959188832658,-21.5672734674239,1279.41782306179
1576.6,154.208748496708,44.9386911142111,133.576683128287,-3.17931754817929,-36.9998562262597,1284.05505103523
1443.3,29.5467809248127,35.8489459980018,106.433298139224,33.4333235174543,-50.8561157788482,1288.89376719936
1294.9,-9.96399790456423,3.04019269985606,-0.128026827770781,70.454394398263,-62.3543976367027,1293.85183527092
1240.7,16.8120796900809,-29.5841441666431,-72.808960689381,98.6589426280876,-71.2098760956941,1298.83195863355
1027.5,-186.102459790275,-27.7876613834281,-89.7379486703895,104.802703734831,-77.3896291796508,1303.71499528891
1378.1,82.6604706429205,1.47239782390826,-18.4128047530574,84.9445130690279,-80.9353065702948,1308.3707297875
1510.1,144.192206932649,19.2350506132434,64.6262939850533,51.2768739483198,-81.9081513216956,1312.67772584243
1297,-23.1642409677125,8.57791367714029,64.6648994064946,10.7464038288395,-80.370740725663,1316.5457647809
1169.3,-42.6057951539251,-5.89942577601585,11.9329754404898,-37.5051702254479,-76.5629785051376,1319.94039422004
1045.3,-66.0047455364676,-6.13547326985033,-42.748997311921,-92.095965625047,-70.5926565548799,1322.87783829817
1145.2,84.4036906036048,-10.3460075922977,-52.5091093026452,-139.292922871239,-62.4298483245947,1325.37419748717
968.1,-98.2580428001928,-7.20752611750878,-35.6417844973415,-166.098316722086,-52.1350066389123,1327.44067677604
1199,63.1790478562902,8.45008053795208,4.56054071720948,-166.46569018331,-39.8247530045954,1329.10077407645
